,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,0,725610,8607,14075,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5978895,CA-MT-001-2024,712158971,CO1.BDOS.5861267,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULT,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN, COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE.",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/19/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5868069,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,74.94068972988582,146.71674598425426,57.41785240173338,1,1.678197928567501,0.0073847237611764,32.11950698779449,-0.5934443473815918,455.9322346366386,2.678197928567501
1,1,1,457379,9662,16176,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5984058,CA-MT-001-2024,712158971,CO1.BDOS.5866352,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/20/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5872889,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,80.68320430393217,157.95927731280227,61.81763648986815,1,1.487580925070156,0.0131019720236692,30.65291229174957,6.385400772094727,-983.0218302169134,2.487580925070156
2,2,0,725610,8607,14075,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5978895,CA-MT-001-2024,712158971,CO1.BDOS.5861267,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULT,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN, COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE.",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/19/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5868069,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,74.94068972988582,146.71674598425426,57.41785240173338,1,1.678197928567501,0.0073847237611764,32.11950698779449,-0.5934443473815918,455.9322346366386,2.678197928567501
3,3,1,457379,9662,16176,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5984058,CA-MT-001-2024,712158971,CO1.BDOS.5866352,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/20/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5872889,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,80.68320430393217,157.95927731280227,61.81763648986815,1,1.487580925070156,0.0131019720236692,30.65291229174957,6.385400772094727,-983.0218302169134,2.487580925070156
4,0,0,725610,8607,14075,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5978895,CA-MT-001-2024,712158971,CO1.BDOS.5861267,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULT,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN, COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE.",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/19/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5868069,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,74.94068972988582,146.71674598425426,57.41785240173338,1,1.678197928567501,0.0073847237611764,32.11950698779449,-0.5934443473815918,455.9322346366386,2.678197928567501
5,1,1,457379,9662,16176,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5984058,CA-MT-001-2024,712158971,CO1.BDOS.5866352,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/20/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5872889,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,80.68320430393217,157.95927731280227,61.81763648986815,1,1.487580925070156,0.0131019720236692,30.65291229174957,6.385400772094727,-983.0218302169134,2.487580925070156
6,2,0,725610,8607,14075,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5978895,CA-MT-001-2024,712158971,CO1.BDOS.5861267,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULT,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN, COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE.",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/19/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5868069,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,74.94068972988582,146.71674598425426,57.41785240173338,1,1.678197928567501,0.0073847237611764,32.11950698779449,-0.5934443473815918,455.9322346366386,2.678197928567501
7,3,1,457379,9662,16176,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5984058,CA-MT-001-2024,712158971,CO1.BDOS.5866352,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/20/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5872889,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,80.68320430393217,157.95927731280227,61.81763648986815,1,1.487580925070156,0.0131019720236692,30.65291229174957,6.385400772094727,-983.0218302169134,2.487580925070156
0,0,0,725610,8607,14075,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5978895,CA-MT-001-2024,712158971,CO1.BDOS.5861267,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULT,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN, COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE.",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/19/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5868069,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,74.94068972988582,146.71674598425426,57.41785240173338,1,1.678197928567501,0.0073847237611764,32.11950698779449,-0.5934443473815918,455.9322346366386,2.678197928567501
1,1,1,457379,9662,16176,ALCALDIA MUNICIPAL DE TENERIFE MAGDALENA,891780057,MAGDALENA,TENERIFE,Territorial,Centralizada,CO1.REQ.5984058,CA-MT-001-2024,712158971,CO1.BDOS.5866352,AUNAR ESFUERZOS HUMANOS; TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES; EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA,"AUNAR ESFUERZOS HUMANOS, TECNICOS Y FINANCIEROS EN LA ORGANIZACIÓN Y COORDINACION Y EJECUCIÓN DE LOS EVENTOS CULTURALES, EN EL MARCO DE CELEBRACIÓN DE LA SEMANA SANTA DECLARADA DE INTERES PUBLICO CULTURAL Y PATRIMONIO INMATERIAL EN EL MUNICIPIO DE TENERIFE",Presentación de oferta,03/20/2024,03/20/2024,,,,,03/20/2024,200706000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Tenerife,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707644589,Cesar,Valledupar,,0,No Adjudicado,FUNDACION AMOVIDA,901203448,V1.93141701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5872889,712158971,Adjudicado,2024,3.9155429850746266,,1,200706000,200.706,V1.931,True,80.68320430393217,157.95927731280227,61.81763648986815,1,1.487580925070156,0.0131019720236692,30.65291229174957,6.385400772094727,-983.0218302169134,2.487580925070156
